INFO:root:################################################################################
INFO:root:		 HIVE DETAILS
INFO:root:	colony_size:	50
INFO:root:	max_trials:	10
INFO:root:	is_maximization:	False
INFO:root:	iterations:	100
INFO:root:################################################################################
INFO:root:iteration | solution                                                   | fitness
INFO:root:--------------------------------------------------------------------------------
INFO:root:0           | [ 3.46757161 -1.63963339]                                  | 1.0913273013013571
INFO:root:1           | [45. 45.]                                                  | 0.657416076152683
INFO:root:2           | [45. 45.]                                                  | 0.657416076152683
INFO:root:3           | [45. 45.]                                                  | 0.657416076152683
INFO:root:4           | [45. 45.]                                                  | 0.657416076152683
INFO:root:5           | [45. 45.]                                                  | 0.657416076152683
INFO:root:6           | [ 3.58840479 -1.79770403]                                  | 0.03858027685234048
INFO:root:7           | [ 3.58840479 -1.79770403]                                  | 0.03858027685234048
INFO:root:8           | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:9           | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:10          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:11          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:12          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:13          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:14          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:15          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:16          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:17          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:18          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:19          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:20          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:21          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:22          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:23          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:24          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:25          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:26          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:27          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:28          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
INFO:root:29          | [ 3.5727331  -1.82731933]                                  | 0.011730223070967515
